iter	RMSE
261	262.3362048
262	262.096507
263	261.8577787
264	261.7963294
265	261.5645789
266	261.4347451
267	261.2537123
268	261.0550652
269	260.9270331
270	260.6874399
271	260.5378509
272	260.2810266
273	259.9995922
274	259.9324202
275	259.7963798
276	259.6261134
277	259.4325701
278	259.3643739
279	259.1034416
280	258.9013708
281	258.8444442
282	258.7098988
283	258.5541712
284	258.4836014
285	258.400658
286	258.30975
287	258.1127737
288	258.0006954
289	257.8565322
290	257.7144661
291	257.5440116
292	257.4458065
293	257.3026247
294	257.2735961
295	257.1214089
296	256.9673883
297	256.7870805
298	256.6486476
299	256.5643077
300	256.4049425
301	256.2531608
302	256.1226243
303	255.9225322
304	255.8080724
305	255.660816
306	255.5101523
307	255.4436379
308	255.2592016
309	255.0967206
310	254.9931487
311	254.916671
312	254.8329267
313	254.675003
314	254.5586961
315	254.3283841
316	254.1963144
317	254.0123203
318	253.883045
319	253.735091
320	253.6243795
321	253.5199669
322	253.401171
323	253.326306
324	253.2510247
325	253.0310646
326	252.983054
327	252.916693
328	252.7681287
329	252.7046193
330	252.6253854
331	252.4749433
332	252.2351532
333	252.1173698
334	252.0303128
335	251.9406494
336	251.7932245
337	251.6545401
338	251.4727816
339	251.2996858
340	251.1501797
341	251.0666105
342	250.9206739
343	250.7655472
344	250.5619767
345	250.2874917
346	250.2728129
347	250.0728828
348	249.8695619
349	249.8061614
350	249.6666949
351	249.5998665
352	249.447308
353	249.3376999
354	249.2335522
355	249.043623
356	248.9183733
357	248.798421
358	248.7440417
359	248.5735481
360	248.4863829
361	248.3521722
362	248.2146075
363	247.9493263
364	247.7219667
365	247.6275368
366	247.531345
367	247.3904786
368	247.2652488
369	247.0706473
370	246.9377037
371	246.8193816
372	246.6783543
373	246.6033472
374	246.5440733
375	246.2655236
376	246.1393117
377	246.0729718
378	245.9768825
379	245.856932
380	245.7145021
381	245.6141514
382	245.4433584
383	245.2750788
384	245.1404368
385	244.9362803
386	244.7942316
387	244.5532569
388	244.4133016
